Sprint,Metric,Rating
1,client satisfaction,4.5
2,client satisfaction,4.6
3,client satisfaction,4.2
4,client satisfaction,4.8
5,client satisfaction,4.7
6,client satisfaction,4.9
1,team satisfaction,4.2
2,team satisfaction,4.3
3,team satisfaction,4.0
4,team satisfaction,4.5
5,team satisfaction,4.4
6,team satisfaction,4.6
1,collaboration,4.0
2,collaboration,4.2
3,collaboration,4.1
4,collaboration,4.3
5,collaboration,4.5
6,collaboration,4.7
1,sprint confidence,3.8
2,sprint confidence,4.0
3,sprint confidence,4.2
4,sprint confidence,4.1
5,sprint confidence,4.3
6,sprint confidence,4.5
1,goal achievement,4.2
2,goal achievement,4.5
3,goal achievement,4.3
4,goal achievement,4.6
5,goal achievement,4.7
6,goal achievement,4.8
